tonie_id,title,figure,description,runtime,age_recommendation,image
167,Eine Insel voller Abenteuer,Feuerwehrmann Sam,"Großer Spaß für kleine Pontypandy FansFeuerwehrmann Sam bekommt ab sofort Unterstützung von Feuerwehrfrau Penny. Gemeinsam helfen sie den Bewohnern von Pontypandy in fünf spannenden Geschichten aus dem Schlamassel:Fußball gegen WissenschaftDie Geburtstage der Zwillinge Sarah und James haben verschiedene Mottos: Fußball und Wissenschaft. Der Wettkampf um die lustigere Party endet damit, dass Feuerwehrmann Sam am Ende auch dienstlich an der Feier teilnehmen muss.SOS auf Pontypandy EilandTrevor nimmt die Pontypandy Pfadfinder mit zu einem Ausflug auf die Insel vor der Küste Pontypandys. Als das Boot abtreibt, versuchen die Pfadfinder mit Rauchzeichen das Notsignal SOS abzusenden. Dabei löst Norman einen Buschbrand aus und die Rettung der Pfadfinder wird umso dringender.Balance auf dem BaumhausDie Pontypandy Pfadfinder fahren in die Berge, um sich dort durch den Bau eines Baumhauses das Handwerker-Abzeichen zu verdienen. Normans Eile und Leichtsinnigkeit führen dabei für alle zu einem großen Balanceakt.Gefangen in der SchluchtElvis ist durch ein Missverständnis kurz davor, seinen Job zu verlieren. Doch zuvor muss die Feuerwehr von Pontypandy in die Berge ausrü- cken. Denn Moose ist bei der Fossiliensuche mit den Kindern in eine Schlucht gestürzt.AmeisenalarmDie Kinder von Pontypandy sind mit Dilys und Trevor im Wald, um zu picknicken. Vor dem Essen wollen sie noch eine Runde Verstecken spielen. Norman denkt, dass er der allerbeste Versteck- spieler ist, aber er hat die Rechnung ohne die juckenden Waldameisen gemacht und so kommt es beinahe zu einer Katastrophe.",ca. 68 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000524-50001655-b-6Gpr1INn.png"
168,Kunterbunte Geschichten,Elmar,"Diese kunterbunten Geschichten sollten in keinem Kinderzimmer fehlen.Elmar ist anders - Elmar ist bunt. Und das ist absolut gut so.Elmar ist kein gewöhnlicher, sondern ein farbenfroher Patchwork-Elefant. Er bringt die grauen Elefanten mit seinem unverkennbaren frechen Humor zum Lachen und sorgt auch sonst für gute Stimmung. Diese längst zu modernen Klassikern gewordenen Geschichten sind bunt, weise und schwungvoll und transportieren dabei ganz nebenbei die wichtige Botschaft, dass es völlig in Ordnung ist, anders zu sein.",ca. 51 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0119-50001857-b-CwEETDO8.png"
169,Die abenteuerliche Geschichte einer fliegenden Maus,Lindbergh,"Kleine Maus auf großer Reise - das mehrmals ausgezeichnete Buch von Torben Kuhlmann als Tonie!Eine außergewöhnliche Geschichte für kleine Abenteurer*innen und solche, die es werden wollen. Torben Kuhlmann schafft es auf einzigartige Weise Zeitgeschichte in einen Kontext zu setzen, der Erwachsene und Kinder gleichermaßen fesselt. Gesprochen von Bastian Pastewka ist dieses Hörbuch eine echte Entdeckung für alle kleinen Hörer*innen ab 5 Jahren.Anfang des 20. Jahrhunderts: In Hamburg lebt eine außergewöhnliche kleine Maus. Eines Tages bemerkt sie, dass es in ihrer Stadt gefährlich geworden ist. Überall lauern Mausefallen und Feinde. Nach und nach verschwinden ihre Mäuse- freunde. Aber wohin sind sie geflüchtet? Nach Amerika? Die kleine Maus beschließt, den weiten Weg über den Atlantik zu wagen. Aber dazu braucht sie erst einmal ein Fluggerät ...",ca. 43 Minuten,Ab 5 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000301-50001983-b-jLo14qFp.png"
170,Die drei Räuber,Die drei Räuber,"Ein modernes Märchen um ein Waisenmädchen, das drei böse Räuber bekehrtDrei grimmig aussehende Räuber bewaffnet mit Donnerbüchse, Blasebalg mit Pfeffer und einem riesigen roten Beil überfallen Kutschen und berauben die Reisenden. Aber eines Tages treffen sie auf einem Beutezug auf das kleine Waisenmädchen Tiffany, das sie kurzerhand mitnehmen, nachdem Tiffany ihnen erzählt, sie wäre die Tochter eines reichen Maharadscha. Wie die kleine Tiffany es am Ende schafft, das Gute in den drei Bösewichten zu wecken – das erfahrt ihr in diesem absolut großartigen Hörspiel.Das Hörspiel zum gleichnamigen Film: Mit Tomi Ungerer als Erzähler, Katharina Thalbach als wunderliche alte Tante und Joachim Król, Bela B. Felsenheimer und Charly Hübner als die drei Räuber. Und einem Soundtrack, der großes Ohrwurm-Potential hat.Tonie-Tipp: Dieser Tonie nimmt kein Blatt vor den Mund. Unbedingt in die Hörprobe reinlauschen, um euch selbst ein Bild zu machen.",ca. 68 Minuten,Ab 5 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000302-50001969-b-2qQEh95j.png"
171,Miffy,Miffy,"Tolle Geschichten für die Allerkleinsten und ein toller Blickfang für deine TonieboxDas süße Kaninchen Miffy lebt in einem kleinen Häuschen mit roten Fensterläden und einem roten Dach, das von grünen Wiesen umgeben ist. Miffy ist abenteuerlustig und probiert gerne neue Dinge aus – am allerliebsten mit ihren besten Freunden Melanie, Grunty, Dan oder dem Hündchen Schnuffi.In 10 kleinen und großen Abenteuern des Alltags lernen Miffy und ihre Freunde schwierige oder bisher unbekannte Situationen zu bewältigen.",ca. 61 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000331-50001008-b-ztePf54Z.png"
172,Die Abenteuer von Affenzahn,Affenzahn Utopia,"Das ist die Geschichte von Affenzahn, der einsam auf der Insel der Ideen wohnt und sich nichts sehnlicher wünscht als echte Freunde.Die Götter des Himmels haben ein Einsehen und schenken sieben Tiere aus sieben Welten. Ob das Geschenk gelingt und die Fremden Freunde werden können, davon erzählt diese humorvolle und tiefsinnige Geschichte von Martin Baltscheit.",ca. 55 Minuten,Ab 6 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000527-50001667-b-m8_zLILa.png"
173,Die Magie der Nixen,Alea Aquarius,"Spannende Geschichten mit “Meerwert”Die Abenteuer des Meermädchens Alea Aquarius und ihrer Freunde von der Alpha Cru entführen Hörer*innen ab 5 Jahren in eine magische Welt. Doch viel mehr sprechen sie Kindern von heute aus der Seele, denn sie beschäftigen sich mit Themen, die aktueller nicht sein könnten: Umweltschutz, Rettung der Meere und ein nachhaltiger Umgang mit wertvollen Ressourcen.In “Die Magie der Nixen” stehen die Freunde vor einer zusätzlichen Herausforderung: Sammy, ein Mitglied der Alpha Cru, ist verschwunden! Auf der Suche nach ihm begegnen sie nicht nur einem Teppich aus Plastikmüll, sondern dürfen sich auch über die Hilfe der magischen Nixen freuen.",ca. 40 Minuten,Ab 5 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0116-50002708-b-txQpbUIa.png"
174,Der Bienentanz,Die Biene Maja,"Neue Geschichten von der Klatschmohnwiese nach den Klassikern von Waldemar BonselsGrashüpfer Flip gesellt sich zu seinen Freunden Maja und Willi und bringt gleich 7 spannende Geschichten mit. Bereits in der ersten Geschichte löst der schnarchende Flip ganz schön große Aufregung bei den Bienen aus. Nachdem die Bienen aus ihrem Stock geflohen sind, stellt sich alles nur zum Glück als falscher Alarm heraus!Auf der Klatschmohnwiese hat Maja einen Kokon entdeckt. Ganz aufgeregt beobachtet sie mit Willi, wie ein Schmetterling schlüpft. Dann machen sie Bekanntschaft mit der Raupe Momo. Am nächsten Morgen hat auch Momo sich verwandelt, doch nicht in einen Schmetterling…Die große Ernte steht an und Maja und ihre Freunde helfen natürlich mit. Nur leider sammeln sie Baldrian-Pollen und versetzen die Arbeitsbienen in einen tiefen Schlaf…Diese und noch vier weitere Geschichten begeistern Klein und Groß!",ca. 81 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000486-50001525-b-VlmwZxfc.png"
175,Mit Gefühl,Eule findet den Beat,"Musik ist die Sprache der GefühleDas findet die kleine Eule im dritten Teil ihrer aufregenden Reise durch die Welt der Musik heraus. Sie bekommt eine Ukulele geschenkt und will ihren ersten eigenen Song schreiben. Aber wie macht man das überhaupt?Auf ihrer Suche nach einer eigenen Melodie stellt Eule ein Konzert im Wald auf die Beine und lernt eine ganze Reihe neuer musikalischer Freunde kennen. Jeder mit einem anderen Gefühl im Gepäck, das seinen ganz eigenen Beat hat. So begegnen ihr Hochgefühle wie Liebe, Freude und Mut, aber auch Traurigkeit, Wut und Angst kreuzen ihren Weg. Am Ende hat Eule jede Menge über Gefühle erfahren und spürt, wie gut es tut, diese durch Musik auszudrücken.",ca. 96 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000384-50001352-b-WTWeAT-V.png"
176,Zugabe,Fredrik Vahle,"Klassische Kinderlieder modern und jung interpretiertWenn sich große Musiker und Künstler die bekanntesten Songs einer Kinderlieder-Legende zu eigen machen und sie neu interpretieren, entsteht etwas Spannendes und Einzigartiges! Ob Pop, Jazz, Hip Hop, Swing oder Elektro – jeder Künstler hat sich eines Songs mit viel Liebe angenommen und ihn neu gestaltet. So modern und poppig hat man Klassiker wie Anne Kaffeekanne, Der Cowboy Jim aus Texas oder auch Der Hase Augustin noch nie gehört!Fredrik Vahle, geboren 1942, singt seit über dreißig Jahren Kinderlieder, begeistert Kinder und Erwachsene gleichermaßen. Der »Vater des neuen Kinderlieds« wurde für seine Musik u.a. mit dem Bundesverdienstkreuz ausgezeichnet. Lieder wie ""Anne Kaffeekanne"", ""Die Rübe"" und ""Der Cowboy Jim aus Texas"" werden in jedem Kinderzimmer und Kindergarten gesungen.",ca. 56 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000278-50001847-b-YhAXXYmr.png"
177,Das Klo,Ralph Ruthe,"Vielen Erwachsenen ist Ralph Ruthe durch seine legendären Cartoons ein Begriff. Mit einem kindgerechten Hörspiel erobert er jetzt auch die Kinderwelt.Das Klo hat die Nase gestrichen voll vom Badezimmeralltag. Also büxt es aus und sucht sein Glück in der weiten Welt. Dabei trifft es Tiere und Gespens­ter, versucht sich als Bürsten­vertreter, findet den Klostein der Weisen und lernt, dass es immer schön ist, wieder da anzukommen, wo man gebraucht wird.",ca. 30 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000487-50001529-b-ASuKAio0.png"
178,Schwimmende Schweinchen,Super Wings,"Mit Jett und seinen Freunden um die WeltOb aufblasbares Muskelkostüm oder Kung-Fu-Anzug - als schnellstes Düsenflugzeug liefert Jett Pakete an Kinder in aller Welt aus. Dabei erleben aufmerksame Zuhörer*innen nicht nur spannende Abenteuer, sondern lernen auch immer ein bisschen etwas über die entsprechenden Länder und Gegebenheiten.Hier alle Geschichten im Überblick:Chaos in Hongkong Jett liefert ein Paket mit einem Kung-Fu-Anzug nach Hongkong an den kleinen Shun Yip, der eines Tages so werden will wie seine großen Kung-Fu-Vorbilder. Auf dem Weg zur Kung-Fu- Schule begegnen die beiden plötzlich einem Außerirdischen, dem Shun Yip sich mutig entgegenstellt ...Die Suche nach dem YetiJett muss ein Päckchen an die kleine Dema in Bhutan liefern. Es ist ein Erste-Hilfe-Kasten, denn sie und ihr Vater kümmern sich um die Tiere in einem Wildschutz- gebiet. Da es kürzlich eine Lawine gegeben hat, machen sie sich sofort nach Jetts Eintreffen auf die Suche nach Tieren in Not ...Schwimmende SchweinchenJetts heutiger Auftrag führt ihn auf die Bahamas auf eine Insel namens Big Major Cay. Jermaine ist so nett, ihm die dort lebenden schwimmenden Schweinchen zu zeigen. Doch urplötzlich zieht ein heftiger Sturm auf und bringt die putzigen Tiere in große Gefahr!Das MuskelpaketJett fliegt nach Athen, um dem kleinen Nikos, der in einem Theaterstück den Herakles spielt, ein Paket mit einem aufblasbaren Muskelkostüm zu liefern. Bei den Proben kommt es zu einem kleinen Unfall ...",ca. 47 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000129-50001432-b-TBTZ-zhh.png"
179,Bob der Küchenmeister,Bob der Baumeister,"Bob der Baumeister und sein Team zeigen: Gemeinsam schaffen wir das!Vom Restaurant bis hin zum Giraffengehege im Zoo – Bob, Wendy, Baggi und Co. übernehmen jeden Job, bei denen Handwerk und Geschicklichkeit gefragt ist. In vier kurzen Geschichten lernen kleine Hörer*innen viel über Teamgeist, Zusammenhalt und Konfliktlösung.",ca. 53 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000364-50001151-b-F-28_KRN.png"
180,Als Tiger und Bär beinahe das Beste verpassten,Janosch,"Eine grandiose Janosch-Geschichte mit einer wichtigen Lektion für Klein und GroßTiger und Bär möchten nichts verpassen, was ihre Freunde machen. Deshalb bauen sie sich eine Nachrichtenmaschine. Natürlich wollen nun alle Tiere im Wald so eine Maschine haben. Jetzt können sie sich den ganzen Tag hin und her schreiben und müssen gar nicht mehr rausgehen, um sich zu treffen. Da kann man ja nie mehr was verpassen!Oder verpassen sie vielleicht gerade das Beste?",ca. 45 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000279-50001643-b-R_rvqPXa.png"
181,LEAs Welt,LEA,"Deutschpop auf der Toniebox - hereinspaziert in LEAs Welt!Mit Hits wie „Leiser“, „Immer wenn wir uns sehn“ und „110“ gehört LEA zu den erfolgreichsten Deutschpop-Künstlerinnen. Seit ihrer Kindheit spielt sie Klavier und belegte tagelang das Wohnzimmer, um erste eigene Songs zu komponieren und zu schreiben. Ihre Lieder erzählen wie Tagebucheinträge aus ihrem Leben: persönlich, verletzlich, stark und immer authentisch. LEAs Musik steckt voller Leben – mal leicht, mal melancholisch, aber immer ganz klar: LEAs Welt.",ca. 60 Minuten,Ab 8 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000361-50001145-b-pEg2Z-qw.png"
182,Der Tollkühne Held,Shrek,"Das Hörspiel zum Kinofilm - ein spaßiges Abenteuer für die ganze FamilieDer riesige, grüne Oger Shrek will eigentlich nur ungestört in seinem Sumpf leben, doch eines Morgens macht ihm ein ewig quasselnder Esel und ein Haufen anderer Fabelwesen einen Strich durch die Rechnung. Doch Lord Farquaad, der Shrek diesen Schlamassel beschwert hat, will den Sumpf nur räumen lassen, wenn Shrek eine Aufgabe für ihn erfüllt: Er soll Prinzessin Fiona aus der Gefangenschaft eines Drachen befreien!",ca. 62 Minuten,Ab 7 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000365-50001153-b-lVQ6uerg.png"
183,Der Wald,Wieso? Weshalb? Warum? junior,"Eine spielerische Entdeckungsreise durch den Wald für die TonieboxDer Wald ist aufregend, spannend und hält gerade für die Kleinsten viele Fragen bereit. Was ist ein Wald? Was essen Bäume? Und wer lebt unter der Erde?Diese und viele andere Fragen werden altersgerecht beantwortet und machen diesen Tonie mit einer authentischen Geräuschwelt, lustigen Mitmach- Aktionen und Musik zu einem rundum gelungenen Hörerlebnis für die Kleinsten.",ca. 30 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000266-50001494-b-CEeOCTV7.png"
184,Die Rettung der Meeresschildkröten,Paw Patrol,"Die Helfer auf vier Pfoten kommen auf die Toniebox""Kein Einsatz zu groß, keine Pfote zu klein!"" Das ist das Motto von Ryder und seinen Fellfreunden, die stets zur Stelle sind, wenn irgendjemand in der Abenteuerbucht ihre Hilfe braucht. Chase & Co. erleben die wildesten Abenteuer und gleich 4 davon findet ihr auf diesem Tonie.",ca. 51 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000320-50003329-b-IdNApLds.png"
185,Ankunft in Centopia / Eine neue Hoffnung,Mia and me,"Zauberhafte Geschichten aus dem Reich der Feen und EinhörnerEigentlich ist Mia ein ganz normales Mädchen. Doch sie kennt einen magischen Ort:  Das Reich von Centopia. Sobald Mia diese zauberhafte Welt besucht wird sie zur Elfe, die sogar mit den Einhörnern sprechen kann!Mit dieser Neuauflage erwarten euch gleich zwei Abenteuer aus Centopia - basierend auf der TV-Serie mit den bekannten Stimmen.Ankunft in CentopiaDie 12-jährige Mia kommt in ein Internat in Florenz. Zum Abschied bekommt sie von ihrer Tante ein Geschenk ihrer vermissten Eltern. Ihr Vater, ein Computerspezialist, hat Mias Lieblingsbuch „Die Legende von Centopia“ für sie als Spiel entworfen. Als Mia den beigefügten Armreif überstreift und das Passwort sagt, findet sie sich plötzlich als Elfe im Elfenreich Centopia wieder. Dort lernt sie den Pan Phuddle, die Elfen Yuko und Mo und das Einhorn Lyria kennen. Schnell muss sie feststellen, dass Centopia nicht nur eine Welt voller Liebe und Frieden ist ...Eine neue HoffnungMia erfährt von Mo und Yuko, dass Centopia dringend neue Hoffnung braucht. Denn die böse Königin Panthea fängt die Einhörner, um sich mit dem Staub ihrer Hörner ewige Jugend zu erhalten. Doch auch Centopias Natur braucht den Staub, um im Gleichgewicht zu bleiben. Da es wegen der bösen Königin immer weniger Einhörner gibt, veröden die blühenden Landschaften und können nicht mehr zum Leben erweckt werden. Wird es Mia gelingen, Centopia zu retten?",ca. 45 Minuten,Ab 7 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000722-50002339-b--T_KiZi27.png"
186,Mulan,Disney,"Das Abenteuer eines mutigen MädchensDie Geschichte von Mulan ist spannend, außergewöhnlich und manchmal auch ganz schön komisch. Damit ihr alter Vater nicht in den Krieg ziehen muss, verkleidet sie sich heimlich als Mann und schließt sich der Armee an. Begleitet wird sie dabei vom tollpatschigen Drachen Mushu, gesprochen von Otto Waalkes, der für so manchen Lacher sorgt. Ob Mulan auffliegen wird?Eine spannende Geschichte rund um Mut, Selbstvertrauen und die Erwartungen der Gesellschaft.",ca. 55 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000209-50001246-b-0YUpPvI3.png"
187,Bauernhof,WAS IST WAS Junior,"Alles Wissenswerte rund um den BauernhofJonas hat es gut. Seine Tante und sein Onkel haben einen eigenen Bauernhof. Jonas besucht sie und seine Cousine Lea über das Wochen­ende. Klar, dass er sich alles an­ schaut und auch mithilft. Die Kälbchen brauchen Milch und bei den Ferkeln ist die Wärmelampe aus­ gefallen. Jonas lernt, warum die Hühner Steine aufpicken und darf bei der Ernte den Mähdrescher sogar ganz alleine lenken. Das ist aber noch lange nicht alles, was er erlebt.",ca. 43 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000291-50001843-b-tQqIdmu_.png"
188,101 Dalmatiner,Disney,"Ein zuckersüßes Abenteuer für die ganze FamilieDie jungen Dalmatiner-Welpen verzaubern nicht nur ihre Hundeeltern Pongo und Perdita, sondern auch kleine und große Hörer*innen. Doch als sie entführt werden, beginnt eine spannende Rettungsaktion, um die Kleinen schnell wieder mit ihren Eltern zu vereinen.Ein Disney-Klassiker mit den Original-Stimmen aus dem Kinofilm.",ca. 56 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000373-50001180-b-6foxdYcD.png"
189,Finde dein Glück,Trolls,"Kunterbunter und glücklicher Hör-Spiel-SpaßDie Trolls sind ein buntes Volk, bekannt für ihre besonders gute Laune, kunterbunte Haare und die Leidenschaft für fröhliche Lieder. Vor vielen Jahren sind die Trolls vor den finsteren und unglücklichen Bergen geflohen und leben seitdem friedlich in einem ruhigen Tal. Doch bei einer großen Party geht plötzlich alles schief. Prinzessin Poppy entscheidet, sich auf eine tollkühne Mission zu begeben: Sie will ihre Freunde retten und die Bergen überzeugen, dass man Glück nicht essen kann.Ein abenteuerlicher Hör-Spiel-Spaß, der ganz sicher jedem ans Herz gehen wird.",ca. 60 Minuten,Ab 5 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000495-50001563-b-RiUSAGR6.png"
190,Osaka & Serengeti,Rund um die Welt mit Fuchs und Schaf,"Aus dem Schwarzwald in die große, weite WeltFuchs und Schaf leben zufrieden auf einem kleinen Bauernhof im Schwarzwald. Doch sie haben das große Glück, immer wieder Gelegenheit zu haben, in die entferntesten Ecken dieser Welt zu reisen. In dieser Geschichte nehmen sie dich mit nach Osaka und in die Serengeti, wo sie ihren leckeren Apfelpunsch und 127 Gläser Gewürzgurken abliefern müssen.",ca. 49 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000525-50001659-b-WygaF6LM.png"
191,Lita Lamm,Steiff Soft Cuddly Friends mit Hörspiel,"Für kuscheligen Hör-Spiel-Spaß - die Soft Cuddly Friends in Kooperation mit Steiff®Die Soft Cuddly Friends sind nicht nur wunderbar kuschelig – sie erzählen euch auch von den Abenteuern, die sie erleben, wenn sie jede Nacht über die geheime Mondscheinrutsche ins Land der Kuschelfreunde rutschen.Lita Lamm ist immer da, wenn Hilfe nötig ist – ihre Vorsicht hilft auch den anderen. Sie kann sich wunderbar einfühlen. Und so ist sie auch diejenige, die in ""Eine Rutsche für alle"" das Eis bricht, als es darum geht, neue Freundschaften zu schließen...Kann ich die Soft Cuddly Friends für die Toniebox waschen?Wenn es mal sein muss, dann scheuen sie nicht einmal die Waschmaschine! Alle drei kuscheligen Helden können bei 30°C mit einem Feinwaschmittel, separat von der anderen Wäsche, gewaschen werden. Wir empfehlen Waschprogramm ""Pflegeleicht"" und die Verwendung eines Wäschenetzes, damit zerkratzte Augen durch die Waschtrommel vermieden werden können. Lasst sie anschließend unbedingt Lufttrocknen! Denn sie mögen es gar nicht, in den Trockner gesteckt zu werden oder zum Trocknen auch nur in die Nähe einer Heizung zu kommen.",ca. 70 Minuten,Thomas Nicolai,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/074097-Lita_Lamm-b-YxUP29iA.png"
192,Hoppie Hase,Steiff Soft Cuddly Friends mit Hörspiel,"Für kuscheligen Hör-Spiel-Spaß - die Soft Cuddly Friends in Kooperation mit Steiff®Die Soft Cuddly Friends sind nicht nur wunderbar kuschelig – sie erzählen euch auch von den Abenteuern, die sie erleben, wenn sie jede Nacht über die geheime Mondscheinrutsche ins Land der Kuschelfreunde rutschen.Hoppie Hase ist in Sachen Ideen gerne vornedran. Sie orientiert sich schnell und entdeckt die tollsten Dinge. Sie ist ganz schön raffiniert, zum Beispiel, als Fritzy Fuchs keinesfalls sein Baumhaus teilen möchte. Wie sie es hinkriegt, dass nachher doch alle dort spielen können, könnt ihr euch anhören.Kann ich die Soft Cuddly Friends für die Toniebox waschen?Wenn es mal sein muss, dann scheuen sie nicht einmal die Waschmaschine! Alle drei kuscheligen Helden können bei 30°C mit einem Feinwaschmittel, separat von der anderen Wäsche, gewaschen werden. Wir empfehlen Waschprogramm ""Pflegeleicht"" und die Verwendung eines Wäschenetzes, damit zerkratzte Augen durch die Waschtrommel vermieden werden können. Lasst sie anschließend unbedingt Lufttrocknen! Denn sie mögen es gar nicht, in den Trockner gesteckt zu werden oder zum Trocknen auch nur in die Nähe einer Heizung zu kommen.",ca. 70 Minuten,Thomas Nicolai,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/080920-Hoppie_Hase-b-QBVBcJtu.png"
